Node 1, a:86, b:10, c:36
Node 2, a:6, b:74, c:36
Node 3, a:6, b:10, c:-4
Node 4, a:6, b:10, c:36
Node 5, a:86, b:234, c:36
Node 6, a:86, b:10, c:156
Node 7, a:214, b:74, c:36
Node 8, a:6, b:10, c:36
Node 9, a:6, b:74, c:124
Node 10, a:6, b:10, c:-4
Node 11, a:6, b:-6, c:-4
Node 12, a:6, b:10, c:36
Node 13, a:86, b:10, c:36
Node 14, a:6, b:74, c:36
Node 15, a:6, b:10, c:-4
Node 16, a:454, b:234, c:36
Node 17, a:86, b:10, c:36
Node 18, a:86, b:234, c:604
Node 19, a:246, b:10, c:156
Node 20, a:86, b:474, c:156
Node 21, a:86, b:10, c:36
Node 22, a:6, b:74, c:36
Node 23, a:214, b:426, c:36
Node 24, a:214, b:74, c:540
Node 25, a:86, b:10, c:36
Node 26, a:6, b:74, c:36
Node 27, a:6, b:10, c:-4
Node 28, a:390, b:74, c:124
Node 29, a:6, b:186, c:124
Node 30, a:6, b:74, c:36
Node 31, a:6, b:10, c:-4
Node 32, a:6, b:-6, c:-4
Node 33, a:6, b:10, c:36
Node 34, a:-26, b:-6, c:-4
Node 35, a:6, b:10, c:-4
Node 36, a:6, b:-6, c:4
Node 37, a:86, b:10, c:36
Node 38, a:6, b:74, c:36
Node 39, a:6, b:10, c:-4
Node 40, a:6, b:10, c:36
Node 41, a:86, b:234, c:36
Node 42, a:86, b:10, c:156
Node 43, a:214, b:74, c:36
Node 44, a:6, b:10, c:36
Node 45, a:6, b:74, c:124
Node 46, a:6, b:10, c:-4
Node 47, a:6, b:-6, c:-4
Node 48, a:6, b:10, c:36
Node 49, a:86, b:234, c:36
Node 50, a:454, b:746, c:36
Node 51, a:454, b:234, c:1340
Node 52, a:6, b:10, c:36
Node 53, a:86, b:234, c:36
Node 54, a:86, b:10, c:156
Node 55, a:1590, b:234, c:604
Node 56, a:86, b:1146, c:604
Node 57, a:86, b:234, c:36
Node 58, a:86, b:10, c:156
Node 59, a:246, b:794, c:156
Node 60, a:246, b:10, c:356
Node 61, a:1174, b:474, c:156
Node 62, a:86, b:10, c:156
Node 63, a:86, b:474, c:964
Node 64, a:6, b:10, c:36
Node 65, a:86, b:234, c:36
Node 66, a:86, b:10, c:156
Node 67, a:214, b:74, c:36
Node 68, a:6, b:10, c:36
Node 69, a:6, b:74, c:124
Node 70, a:710, b:426, c:36
Node 71, a:214, b:74, c:36
Node 72, a:214, b:426, c:1244
Node 73, a:1014, b:74, c:540
Node 74, a:214, b:1434, c:540
Node 75, a:214, b:74, c:36
Node 76, a:6, b:10, c:36
Node 77, a:86, b:234, c:36
Node 78, a:86, b:10, c:156
Node 79, a:214, b:74, c:36
Node 80, a:6, b:10, c:36
Node 81, a:6, b:74, c:124
Node 82, a:6, b:10, c:-4
Node 83, a:6, b:-6, c:-4
Node 84, a:6, b:10, c:36
Node 85, a:6, b:74, c:124
Node 86, a:390, b:954, c:124
Node 87, a:390, b:74, c:804
Node 88, a:614, b:186, c:124
Node 89, a:6, b:74, c:124
Node 90, a:6, b:186, c:260
Node 91, a:214, b:74, c:36
Node 92, a:6, b:10, c:36
Node 93, a:6, b:74, c:124
Node 94, a:6, b:10, c:-4
Node 95, a:6, b:-6, c:-4
Node 96, a:6, b:10, c:36
Node 97, a:-26, b:-6, c:-4
Node 98, a:6, b:10, c:-4
Node 99, a:6, b:-6, c:4
Node 100, a:86, b:10, c:36
Node 101, a:6, b:74, c:36
Node 102, a:6, b:10, c:-4
Node 103, a:6, b:-6, c:-4
Node 104, a:-26, b:-54, c:-4
Node 105, a:-26, b:-6, c:-60
Node 106, a:6, b:10, c:-4
Node 107, a:6, b:-6, c:-4
Node 108, a:6, b:10, c:36
Node 109, a:-10, b:-6, c:4
Node 110, a:6, b:26, c:4
Node 111, a:6, b:-6, c:-4
Node 112, a:6, b:10, c:36
Node 113, a:86, b:234, c:36
Node 114, a:86, b:10, c:156
Node 115, a:214, b:74, c:36
Node 116, a:6, b:10, c:36
Node 117, a:6, b:74, c:124
Node 118, a:6, b:10, c:-4
Node 119, a:6, b:-6, c:-4
Node 120, a:6, b:10, c:36
Node 121, a:86, b:10, c:36
Node 122, a:6, b:74, c:36
Node 123, a:6, b:10, c:-4
Node 124, a:454, b:234, c:36
Node 125, a:86, b:10, c:36
Node 126, a:86, b:234, c:604
Node 127, a:246, b:10, c:156
Node 128, a:86, b:474, c:156
Node 129, a:86, b:10, c:36
Node 130, a:6, b:74, c:36
Node 131, a:214, b:426, c:36
Node 132, a:214, b:74, c:540
Node 133, a:86, b:10, c:36
Node 134, a:6, b:74, c:36
Node 135, a:6, b:10, c:-4
Node 136, a:390, b:74, c:124
Node 137, a:6, b:186, c:124
Node 138, a:6, b:74, c:36
